age,region,urban_rural,education_level,employment_status,monthly_income_tzs,family_size,distance_to_hospital_km,distance_to_school_km,access_to_clean_water,electricity_access,housing_type,years_of_education,number_of_rooms,health_insurance,health_score,education_score,housing_score,quality_of_life_score
41,Kilimanjaro,Urban,Primary,Self-employed,2115726,4,23.32,1.5,1,0,Concrete/Modern,0,5,0,100.0,55.3,100.0,84.36
20,Dodoma,Urban,Secondary,Private Sector,2368108,5,11.93,5.05,1,1,Brick/Iron Sheet,6,4,0,100.0,83.65,100.0,94.28
39,Mtwara,Rural,Primary,Private Sector,1506065,7,1.02,3.03,1,0,Concrete/Modern,12,2,0,100.0,53.7,100.0,83.79
19,Mwanza,Urban,Primary,Self-employed,1510808,5,3.2,9.95,1,1,Concrete/Modern,11,2,0,100.0,41.81,100.0,79.63
41,Kilimanjaro,Urban,College,Self-employed,955754,1,3.86,12.44,1,0,Mud/Thatch,11,5,0,91.75,61.46,100.0,83.62
61,Arusha,Rural,Primary,Self-employed,121650,7,14.4,28.74,0,1,Brick/Iron Sheet,12,2,1,84.83,0.0,74.99,52.19
47,Dodoma,Urban,College,Government,1504962,8,16.21,0.83,1,1,Concrete/Modern,13,2,1,100.0,98.17,100.0,99.36
55,Morogoro,Rural,Secondary,Self-employed,1973204,7,4.86,9.94,1,1,Concrete/Modern,11,4,1,100.0,73.34,100.0,90.67
19,Arusha,Rural,Primary,Government,1319309,4,5.41,1.55,0,1,Brick/Iron Sheet,11,3,1,100.0,54.48,100.0,84.07
38,Zanzibar,Rural,Secondary,Self-employed,2439189,8,0.46,4.47,1,0,Concrete/Modern,5,1,1,100.0,79.95,100.0,92.98
50,Zanzibar,Urban,Secondary,Government,306251,5,3.41,3.52,1,1,Mud/Thatch,9,5,0,84.21,67.4,70.09,74.09
29,Dar es Salaam,Urban,Primary,Government,2731383,9,6.0,0.09,1,1,Brick/Iron Sheet,8,5,0,100.0,53.1,100.0,83.59
39,Mwanza,Rural,College,Self-employed,2218194,5,1.24,13.5,0,1,Brick/Iron Sheet,1,4,0,100.0,83.26,100.0,94.14
61,Mtwara,Rural,Secondary,Government,1925706,1,6.04,0.41,1,1,Brick/Iron Sheet,6,4,0,100.0,68.35,100.0,88.92
42,Kilimanjaro,Rural,Primary,Unemployed,1078582,9,19.19,5.83,1,1,Mud/Thatch,8,1,0,90.11,40.58,71.88,67.3
66,Mbeya,Urban,Secondary,Government,418903,5,8.71,7.69,0,1,Brick/Iron Sheet,11,3,1,69.54,64.39,91.23,74.25
44,Morogoro,Rural,University,Private Sector,1516693,6,0.82,7.93,1,1,Mud/Thatch,4,5,0,100.0,92.72,98.73,97.07
59,Dodoma,Rural,Primary,Unemployed,1979314,4,2.13,0.73,1,1,Brick/Iron Sheet,0,4,0,100.0,54.97,100.0,84.24
45,Mtwara,Rural,College,Private Sector,994801,6,6.43,2.97,1,1,Concrete/Modern,14,5,0,100.0,89.68,100.0,96.39
33,Arusha,Rural,Primary,Student,1824854,8,4.49,8.84,0,0,Concrete/Modern,7,2,0,100.0,48.49,100.0,81.97
32,Zanzibar,Rural,Secondary,Unemployed,914811,3,4.44,1.8,1,0,Brick/Iron Sheet,0,5,1,100.0,59.29,100.0,85.75
64,Morogoro,Rural,Secondary,Private Sector,482811,5,7.53,3.15,1,1,Brick/Iron Sheet,17,3,0,73.18,72.44,100.0,80.97
68,Mbeya,Rural,Primary,Private Sector,601691,2,8.78,1.59,1,1,Brick/Iron Sheet,12,3,0,74.27,47.77,100.0,72.72
61,Kilimanjaro,Urban,Primary,Government,1108314,2,15.94,3.11,1,0,Mud/Thatch,0,5,0,82.48,34.85,88.25,67.54
69,Dar es Salaam,Urban,Secondary,Self-employed,314304,7,4.17,10.94,1,0,Brick/Iron Sheet,4,2,1,76.19,49.07,84.9,69.32
20,Mbeya,Rural,Primary,Self-employed,2593330,6,16.37,3.04,0,1,Mud/Thatch,17,3,0,100.0,65.0,92.8,85.59
54,Morogoro,Urban,Secondary,Unemployed,1817787,4,4.13,4.06,1,1,Concrete/Modern,15,4,0,100.0,68.29,100.0,88.9
68,Mbeya,Rural,No Education,Private Sector,2052634,5,0.57,2.59,0,0,Concrete/Modern,9,5,1,100.0,13.23,100.0,69.63
24,Morogoro,Rural,College,Self-employed,2636115,1,8.08,3.08,1,1,Brick/Iron Sheet,3,2,0,100.0,100.0,100.0,100.0
38,Morogoro,Rural,Secondary,Government,1011612,7,8.86,0.08,0,1,Brick/Iron Sheet,0,4,0,94.44,91.51,86.9,91.15
26,Tanga,Urban,College,Unemployed,2511645,8,27.26,1.67,1,1,Mud/Thatch,7,5,0,100.0,100.0,100.0,100.0
56,Dodoma,Urban,No Education,Private Sector,301904,9,12.95,2.87,1,1,Brick/Iron Sheet,4,2,1,100.0,1.57,85.63,61.24
35,Zanzibar,Urban,Secondary,Unemployed,811716,8,24.98,5.02,1,1,Brick/Iron Sheet,1,4,0,85.37,77.96,100.0,87.16
21,Tanga,Rural,Secondary,Unemployed,2867257,5,23.9,2.99,0,0,Brick/Iron Sheet,16,3,0,100.0,89.49,100.0,96.32
42,Kilimanjaro,Rural,Primary,Self-employed,2202882,3,9.28,2.06,0,1,Mud/Thatch,6,5,0,100.0,71.4,92.33,87.69
31,Tanga,Rural,Primary,Self-employed,1555713,9,7.5,2.46,0,0,Concrete/Modern,16,5,0,100.0,50.62,100.0,82.72
67,Mwanza,Rural,No Education,Private Sector,2935623,6,8.15,1.39,1,1,Brick/Iron Sheet,5,3,0,100.0,31.11,100.0,75.89
26,Mwanza,Rural,Secondary,Government,1799660,5,38.32,12.92,0,0,Concrete/Modern,14,1,0,89.67,56.31,100.0,81.09
43,Zanzibar,Rural,Secondary,Private Sector,2016541,3,14.84,3.69,0,1,Concrete/Modern,4,4,0,100.0,73.04,100.0,90.56
19,Mbeya,Urban,No Education,Student,445430,6,1.12,0.07,0,0,Concrete/Modern,14,3,0,83.6,0.0,93.49,57.31
37,Dodoma,Rural,Secondary,Government,928411,3,15.07,0.1,1,1,Mud/Thatch,17,5,0,90.35,76.86,97.94,87.91
45,Zanzibar,Rural,Primary,Private Sector,1957845,6,1.87,18.05,0,0,Mud/Thatch,17,4,0,100.0,27.52,69.32,65.43
64,Morogoro,Urban,No Education,Government,2605365,4,5.93,1.25,0,1,Brick/Iron Sheet,5,4,0,100.0,35.16,100.0,77.3
24,Arusha,Rural,University,Private Sector,2039983,2,2.36,8.19,0,1,Mud/Thatch,1,1,0,100.0,100.0,73.54,92.06
61,Dodoma,Urban,University,Unemployed,2897551,8,11.7,0.3,1,1,Brick/Iron Sheet,16,5,0,100.0,100.0,100.0,100.0
25,Dodoma,Rural,Secondary,Private Sector,1669186,4,20.98,12.7,1,1,Brick/Iron Sheet,3,2,1,100.0,51.77,100.0,83.12
64,Morogoro,Rural,No Education,Unemployed,2218075,9,3.43,10.37,1,0,Brick/Iron Sheet,11,1,0,100.0,0.0,100.0,65.0
52,Morogoro,Rural,Secondary,Private Sector,947405,7,0.86,4.23,1,1,Brick/Iron Sheet,1,1,0,97.15,61.57,100.0,85.55
31,Dar es Salaam,Rural,Primary,Private Sector,1544679,2,3.55,0.05,1,1,Concrete/Modern,1,2,0,100.0,50.43,100.0,82.65
34,Zanzibar,Rural,Primary,Unemployed,2391947,4,11.16,1.49,1,1,Mud/Thatch,13,2,0,100.0,47.91,97.38,80.98
53,Morogoro,Rural,Primary,Self-employed,333462,5,3.99,2.61,1,1,Brick/Iron Sheet,14,1,1,91.33,45.19,73.8,69.92
67,Mwanza,Rural,Secondary,Government,2248565,3,3.26,3.08,1,1,Brick/Iron Sheet,1,4,0,100.0,76.95,100.0,91.93
57,Kilimanjaro,Rural,Secondary,Private Sector,2068921,9,2.04,1.77,1,1,Concrete/Modern,3,3,0,100.0,75.7,100.0,91.49
21,Arusha,Urban,Primary,Self-employed,2750196,5,6.88,0.17,1,1,Brick/Iron Sheet,8,3,0,100.0,70.69,100.0,89.74
19,Zanzibar,Rural,Secondary,Private Sector,1482296,2,3.23,4.46,1,1,Mud/Thatch,6,1,0,100.0,74.79,82.96,86.07
23,Mtwara,Urban,College,Private Sector,1421024,3,13.13,3.71,1,1,Brick/Iron Sheet,12,4,0,100.0,99.92,100.0,99.97
59,Mwanza,Rural,Primary,Self-employed,510226,9,0.8,1.66,1,1,Mud/Thatch,11,2,0,74.32,37.23,57.61,56.32
21,Mbeya,Rural,Secondary,Student,1275615,7,10.91,0.19,0,0,Mud/Thatch,2,1,1,100.0,74.64,37.9,72.49
46,Morogoro,Rural,College,Private Sector,1864694,2,2.71,26.1,0,0,Brick/Iron Sheet,12,5,1,100.0,48.03,100.0,81.81
35,Mtwara,Rural,Primary,Self-employed,1835594,9,6.72,3.29,1,0,Brick/Iron Sheet,14,4,0,100.0,42.24,100.0,79.78
43,Morogoro,Rural,Primary,Government,2377226,4,3.37,7.05,0,0,Brick/Iron Sheet,13,5,0,100.0,34.81,100.0,77.18
61,Dodoma,Rural,Secondary,Government,1907254,9,12.83,3.01,1,1,Brick/Iron Sheet,8,5,1,100.0,95.19,100.0,98.32
51,Mwanza,Rural,Secondary,Unemployed,756735,2,29.06,0.22,0,1,Concrete/Modern,12,1,0,78.77,82.58,100.0,86.47
27,Dodoma,Rural,College,Self-employed,1772349,4,24.9,1.85,0,0,Concrete/Modern,3,4,0,100.0,89.71,100.0,96.4
53,Dar es Salaam,Urban,Primary,Self-employed,908524,5,8.76,1.93,1,1,Brick/Iron Sheet,7,5,1,100.0,39.53,100.0,78.84
31,Dodoma,Urban,University,Private Sector,231562,2,6.21,9.11,1,1,Brick/Iron Sheet,2,4,0,77.43,87.36,100.0,87.68
48,Dar es Salaam,Rural,No Education,Private Sector,1152305,1,17.05,5.31,1,1,Brick/Iron Sheet,1,3,0,93.37,25.79,100.0,71.71
65,Dar es Salaam,Urban,No Education,Private Sector,1809910,7,11.5,1.61,0,1,Brick/Iron Sheet,7,5,0,93.55,23.85,100.0,71.09
32,Mtwara,Rural,Secondary,Government,2839662,1,2.03,17.17,0,1,Brick/Iron Sheet,16,5,0,100.0,64.22,100.0,87.48
25,Morogoro,Rural,Primary,Private Sector,1495936,8,17.2,1.94,1,1,Brick/Iron Sheet,12,4,1,100.0,48.22,100.0,81.88
31,Mbeya,Rural,Primary,Unemployed,2805300,3,5.6,31.7,1,0,Brick/Iron Sheet,6,3,0,100.0,0.0,100.0,65.0
40,Dodoma,Rural,Primary,Self-employed,358360,6,2.09,27.82,1,0,Brick/Iron Sheet,8,5,1,100.0,0.0,75.47,57.64
57,Mwanza,Rural,Primary,Self-employed,2556166,7,3.31,1.06,1,0,Mud/Thatch,11,1,0,100.0,45.32,75.47,73.5
38,Dar es Salaam,Rural,No Education,Self-employed,2493946,1,3.11,1.88,1,0,Brick/Iron Sheet,13,4,0,100.0,7.35,100.0,67.57
33,Morogoro,Rural,University,Private Sector,728177,6,7.32,3.33,1,1,Brick/Iron Sheet,13,4,0,100.0,100.0,100.0,100.0
62,Arusha,Rural,Primary,Government,460306,7,2.67,5.45,1,1,Brick/Iron Sheet,14,5,0,100.0,31.21,100.0,75.92
35,Zanzibar,Rural,Secondary,Self-employed,1604558,6,1.32,3.75,0,1,Brick/Iron Sheet,2,3,0,85.8,69.24,95.7,82.98
64,Mtwara,Urban,Secondary,Private Sector,2824274,4,1.32,17.44,1,1,Brick/Iron Sheet,14,5,0,100.0,53.5,100.0,83.73
41,Mbeya,Rural,University,Private Sector,1558857,1,8.75,6.44,1,0,Brick/Iron Sheet,13,2,1,100.0,99.16,100.0,99.71
43,Tanga,Rural,No Education,Self-employed,1694502,9,13.27,1.19,0,1,Brick/Iron Sheet,7,5,1,100.0,18.96,100.0,71.64
42,Mtwara,Rural,College,Unemployed,1588303,4,3.88,0.56,1,1,Brick/Iron Sheet,4,2,0,93.99,100.0,100.0,97.9
62,Arusha,Urban,Secondary,Self-employed,1888243,7,0.35,5.83,0,0,Mud/Thatch,3,1,0,100.0,62.51,51.77,72.41
58,Zanzibar,Rural,Secondary,Unemployed,618490,7,1.36,0.86,1,0,Brick/Iron Sheet,13,4,1,99.76,60.62,75.69,78.84
46,Arusha,Urban,Secondary,Government,1904933,2,24.62,7.75,0,1,Brick/Iron Sheet,15,4,0,94.97,65.03,100.0,86.0
32,Dodoma,Urban,College,Unemployed,2173946,1,6.8,1.86,1,1,Brick/Iron Sheet,5,3,0,100.0,100.0,100.0,100.0
62,Dar es Salaam,Rural,Primary,Self-employed,2750760,8,6.04,1.98,0,1,Brick/Iron Sheet,5,5,1,100.0,43.59,100.0,80.26
18,Mbeya,Rural,Secondary,Self-employed,2660244,8,0.39,0.05,1,1,Concrete/Modern,2,1,0,100.0,85.09,100.0,94.78
42,Kilimanjaro,Rural,Secondary,Student,134924,7,13.04,6.04,1,1,Concrete/Modern,14,2,0,78.63,62.33,100.0,79.34
24,Dar es Salaam,Rural,Secondary,Unemployed,1361368,8,7.51,0.6,1,0,Mud/Thatch,2,3,0,90.43,62.91,53.98,69.86
26,Kilimanjaro,Rural,University,Unemployed,1582526,3,2.26,7.41,1,0,Concrete/Modern,10,1,0,100.0,100.0,100.0,100.0
41,Zanzibar,Rural,Primary,Unemployed,2003124,2,1.17,3.39,1,1,Brick/Iron Sheet,2,1,0,100.0,56.94,100.0,84.93
18,Morogoro,Urban,University,Unemployed,2892537,7,4.84,7.67,1,1,Brick/Iron Sheet,9,2,0,100.0,100.0,100.0,100.0
61,Tanga,Rural,No Education,Self-employed,2160583,8,18.15,4.38,0,1,Mud/Thatch,17,2,1,100.0,19.99,67.29,62.19
25,Mwanza,Rural,No Education,Private Sector,2770380,1,20.05,0.43,0,1,Concrete/Modern,0,4,0,100.0,31.3,100.0,75.96
41,Dar es Salaam,Rural,No Education,Self-employed,570192,9,9.23,7.25,0,1,Mud/Thatch,15,5,0,95.68,2.38,70.23,55.39
28,Mbeya,Rural,Primary,Unemployed,1687542,4,13.0,0.36,0,1,Concrete/Modern,15,3,0,91.99,61.89,100.0,83.86
68,Arusha,Rural,Secondary,Government,2637572,4,1.22,3.26,1,1,Mud/Thatch,9,5,1,100.0,96.32,98.19,98.17
34,Mbeya,Urban,No Education,Self-employed,762132,3,8.87,0.95,0,1,Brick/Iron Sheet,0,3,1,88.14,0.0,100.0,60.85
25,Zanzibar,Rural,No Education,Self-employed,1740027,6,11.0,6.98,1,0,Brick/Iron Sheet,3,1,1,100.0,0.0,100.0,65.0
52,Kilimanjaro,Rural,University,Self-employed,2962480,1,2.24,12.13,1,1,Mud/Thatch,2,2,0,100.0,100.0,100.0,100.0
52,Arusha,Urban,College,Student,2926267,6,21.22,4.04,1,1,Mud/Thatch,4,2,1,100.0,100.0,98.16,99.45
50,Mwanza,Urban,College,Unemployed,254536,2,2.17,3.74,1,1,Brick/Iron Sheet,11,1,0,84.24,76.49,95.21,84.82
22,Mwanza,Rural,College,Government,675425,9,3.76,7.22,1,0,Mud/Thatch,11,1,0,88.6,74.3,49.72,71.93
59,Dar es Salaam,Urban,Secondary,Private Sector,523448,2,9.69,0.03,0,1,Brick/Iron Sheet,12,3,0,79.08,83.86,86.34,82.93
56,Zanzibar,Rural,No Education,Unemployed,2698385,7,10.17,12.49,0,1,Brick/Iron Sheet,11,1,0,100.0,22.22,100.0,72.78
58,Morogoro,Rural,Primary,Student,2140104,1,12.02,1.1,1,1,Concrete/Modern,15,3,1,100.0,65.76,100.0,88.02
45,Zanzibar,Urban,Secondary,Self-employed,724773,7,1.19,20.71,1,1,Brick/Iron Sheet,12,5,0,99.96,35.44,93.27,75.37
24,Kilimanjaro,Rural,Primary,Unemployed,2117528,5,18.94,6.66,1,0,Mud/Thatch,4,2,0,100.0,19.01,78.46,65.19
26,Mbeya,Rural,Secondary,Government,1778332,8,7.61,7.44,1,1,Brick/Iron Sheet,3,2,0,100.0,68.46,100.0,88.96
25,Mwanza,Rural,No Education,Private Sector,1102021,4,6.37,5.34,1,1,Brick/Iron Sheet,14,2,0,100.0,0.0,93.17,62.95
29,Mbeya,Urban,Primary,Private Sector,2198053,7,39.68,3.19,1,1,Concrete/Modern,11,5,0,100.0,36.64,100.0,77.83
51,Mbeya,Urban,Secondary,Unemployed,2285132,6,13.49,4.24,0,0,Concrete/Modern,10,5,0,100.0,85.52,100.0,94.93
50,Mbeya,Rural,Secondary,Self-employed,1518314,5,1.26,0.24,1,0,Brick/Iron Sheet,5,4,0,98.55,67.69,100.0,88.18
65,Mwanza,Rural,Secondary,Private Sector,889313,4,14.13,4.89,1,1,Mud/Thatch,8,3,0,91.59,60.11,68.01,73.5
40,Mtwara,Rural,Secondary,Self-employed,392007,7,1.0,4.92,0,1,Concrete/Modern,0,3,1,88.38,58.62,100.0,81.45
41,Dodoma,Rural,No Education,Self-employed,2963874,5,0.28,11.09,0,1,Concrete/Modern,11,4,1,100.0,31.17,100.0,75.91
54,Kilimanjaro,Rural,No Education,Unemployed,2595990,5,5.17,3.52,1,0,Concrete/Modern,13,2,1,100.0,19.38,100.0,71.78
52,Mtwara,Urban,College,Unemployed,2713108,1,50.48,0.4,1,1,Concrete/Modern,5,3,1,100.0,100.0,100.0,100.0
61,Kilimanjaro,Rural,Secondary,Government,1624960,2,1.92,1.83,0,1,Brick/Iron Sheet,0,3,0,89.57,75.99,100.0,87.95
57,Arusha,Rural,No Education,Self-employed,2684215,5,11.17,5.33,1,0,Mud/Thatch,1,2,1,100.0,6.2,98.15,66.62
39,Zanzibar,Rural,College,Student,2923698,3,1.9,1.37,0,1,Brick/Iron Sheet,10,1,0,100.0,100.0,100.0,100.0
44,Zanzibar,Rural,Primary,Self-employed,2448991,2,12.9,1.65,1,1,Brick/Iron Sheet,2,1,1,100.0,56.99,100.0,84.95
52,Tanga,Urban,Primary,Private Sector,1469971,4,7.04,8.59,0,1,Brick/Iron Sheet,9,4,0,100.0,37.68,100.0,78.19
18,Zanzibar,Urban,No Education,Self-employed,696860,4,11.39,4.39,1,0,Brick/Iron Sheet,5,5,1,100.0,4.73,93.19,64.61
52,Mwanza,Rural,Secondary,Self-employed,1712119,4,2.27,3.55,1,1,Brick/Iron Sheet,5,3,0,85.33,81.14,100.0,88.26
54,Morogoro,Rural,Secondary,Unemployed,487773,4,13.69,1.92,1,0,Brick/Iron Sheet,1,3,0,100.0,69.2,86.3,85.11
64,Dar es Salaam,Rural,Primary,Self-employed,2182816,3,54.3,6.56,0,0,Brick/Iron Sheet,9,4,0,78.96,35.83,100.0,70.18
31,Tanga,Rural,College,Self-employed,122499,7,10.96,1.7,1,0,Mud/Thatch,5,4,0,83.15,93.3,50.91,77.03
20,Dar es Salaam,Rural,Primary,Student,726840,9,6.8,6.68,1,1,Brick/Iron Sheet,16,3,1,100.0,47.6,90.08,78.68
18,Kilimanjaro,Urban,Primary,Private Sector,544844,5,25.66,0.36,1,0,Concrete/Modern,13,2,0,74.45,30.74,100.0,66.82
22,Dar es Salaam,Rural,Primary,Unemployed,1734224,4,0.16,10.0,1,1,Concrete/Modern,4,2,0,100.0,31.0,100.0,75.85
43,Dar es Salaam,Urban,Primary,Unemployed,1546395,2,13.09,3.46,1,0,Brick/Iron Sheet,16,5,1,100.0,25.99,100.0,74.1
31,Tanga,Urban,No Education,Unemployed,2683677,2,21.96,2.89,1,0,Brick/Iron Sheet,1,3,0,100.0,23.88,100.0,73.36
56,Arusha,Rural,Secondary,Private Sector,971905,5,0.64,4.72,0,1,Mud/Thatch,8,3,0,71.17,71.26,81.63,74.34
44,Mbeya,Rural,College,Private Sector,243704,7,5.98,4.89,0,0,Brick/Iron Sheet,11,3,0,53.43,70.46,61.04,61.67
26,Zanzibar,Rural,Secondary,Government,2883119,9,2.29,0.71,1,1,Brick/Iron Sheet,6,3,0,100.0,95.03,100.0,98.26
32,Zanzibar,Urban,Primary,Unemployed,1240449,7,8.36,7.06,0,0,Brick/Iron Sheet,8,4,1,93.59,20.72,87.62,66.29
32,Mwanza,Urban,No Education,Self-employed,165756,5,10.49,1.61,1,0,Concrete/Modern,15,1,1,100.0,6.98,100.0,67.44
43,Tanga,Urban,Primary,Self-employed,2637362,6,3.6,11.77,1,0,Brick/Iron Sheet,10,3,1,100.0,34.47,100.0,77.07
59,Mwanza,Urban,Primary,Private Sector,1467064,3,6.16,8.51,1,1,Mud/Thatch,11,1,0,100.0,39.21,71.39,70.14
30,Morogoro,Rural,Secondary,Private Sector,1270473,5,3.28,2.13,0,0,Mud/Thatch,14,2,0,93.92,71.2,46.78,71.82
68,Morogoro,Urban,Primary,Private Sector,620082,8,4.61,8.24,0,1,Brick/Iron Sheet,17,5,0,68.37,13.15,88.67,55.13
49,Mwanza,Rural,Secondary,Private Sector,2496640,1,1.74,2.2,1,1,Brick/Iron Sheet,15,2,1,100.0,93.33,100.0,97.67
56,Tanga,Urban,College,Unemployed,1143361,1,21.68,0.53,1,1,Concrete/Modern,14,3,0,78.63,89.36,100.0,88.8
66,Mwanza,Urban,Primary,Private Sector,2280943,7,0.1,16.34,1,1,Brick/Iron Sheet,4,2,0,100.0,34.93,100.0,77.22
69,Zanzibar,Urban,College,Unemployed,1828235,5,21.41,5.29,0,1,Brick/Iron Sheet,10,4,0,74.35,84.07,99.61,85.33
49,Mtwara,Rural,Secondary,Private Sector,2900487,5,8.48,3.04,0,1,Brick/Iron Sheet,14,1,0,100.0,85.6,100.0,94.96
21,Dodoma,Rural,Secondary,Self-employed,2025464,1,4.03,2.54,0,0,Brick/Iron Sheet,17,3,1,100.0,79.36,100.0,92.78
47,Dar es Salaam,Rural,Secondary,Self-employed,2016796,9,12.84,1.96,1,0,Brick/Iron Sheet,12,4,0,100.0,68.59,100.0,89.01
54,Dodoma,Rural,Primary,Government,1386188,1,7.09,19.94,0,0,Brick/Iron Sheet,3,1,0,73.25,5.76,100.0,57.65
40,Tanga,Rural,Primary,Government,533797,5,6.91,0.72,0,0,Brick/Iron Sheet,16,4,0,83.46,35.25,67.6,61.83
56,Dodoma,Urban,Primary,Government,900607,9,1.17,1.89,0,0,Brick/Iron Sheet,3,2,1,100.0,34.83,91.4,74.61
62,Morogoro,Urban,Primary,Self-employed,2187784,4,4.94,3.32,0,1,Concrete/Modern,15,3,0,89.87,54.69,100.0,80.6
32,Kilimanjaro,Rural,Secondary,Private Sector,2334415,8,2.76,3.25,1,1,Brick/Iron Sheet,14,2,0,100.0,80.53,100.0,93.18
60,Dar es Salaam,Rural,No Education,Self-employed,2542730,6,0.16,3.19,1,1,Mud/Thatch,13,5,0,100.0,30.78,100.0,75.77
46,Mbeya,Urban,College,Government,1884094,3,4.46,0.97,0,0,Mud/Thatch,11,3,0,100.0,92.86,76.71,90.51
53,Tanga,Rural,Secondary,Self-employed,1002153,4,0.94,0.78,0,0,Mud/Thatch,2,2,1,90.28,73.62,63.59,76.44
30,Dar es Salaam,Rural,Primary,Student,2244797,2,2.97,1.47,0,1,Brick/Iron Sheet,9,3,0,100.0,47.99,100.0,81.8
49,Dodoma,Urban,Primary,Government,339608,1,0.97,12.3,0,1,Mud/Thatch,7,1,1,84.14,15.06,51.33,50.12
24,Morogoro,Rural,College,Private Sector,647571,8,1.06,0.6,0,1,Mud/Thatch,5,3,0,88.74,96.42,61.5,83.26
68,Arusha,Rural,College,Self-employed,449115,1,2.22,7.08,1,1,Brick/Iron Sheet,13,3,1,86.2,74.75,100.0,86.33
39,Mtwara,Rural,Secondary,Unemployed,202780,1,88.0,7.08,0,1,Brick/Iron Sheet,16,1,1,30.11,47.03,92.64,54.79
45,Mbeya,Rural,Primary,Government,1571816,4,0.02,8.3,0,1,Mud/Thatch,15,2,0,100.0,52.11,76.92,76.31
19,Mtwara,Urban,Primary,Unemployed,1591422,6,10.18,10.88,1,0,Brick/Iron Sheet,14,3,0,100.0,29.31,95.28,73.84
59,Dar es Salaam,Rural,No Education,Government,917166,9,1.52,1.53,1,1,Brick/Iron Sheet,14,4,0,72.16,15.65,98.97,60.43
62,Morogoro,Rural,Primary,Self-employed,953159,1,25.34,1.27,1,1,Concrete/Modern,0,3,0,94.97,24.53,100.0,71.82
23,Morogoro,Rural,Secondary,Self-employed,995596,7,0.98,3.13,1,0,Brick/Iron Sheet,11,2,0,100.0,75.91,93.24,89.54
45,Dodoma,Rural,Secondary,Government,2531129,5,31.02,1.54,1,1,Mud/Thatch,9,1,0,100.0,100.0,98.4,99.52
45,Zanzibar,Urban,Secondary,Private Sector,683043,8,9.44,6.63,1,1,Brick/Iron Sheet,13,2,1,100.0,71.83,95.48,88.78
61,Dodoma,Rural,College,Private Sector,1700720,7,0.01,5.05,0,1,Brick/Iron Sheet,9,5,0,80.87,100.0,100.0,93.3
61,Zanzibar,Urban,Secondary,Private Sector,2705327,4,22.44,10.4,1,0,Mud/Thatch,9,3,1,100.0,68.19,91.6,86.35
37,Zanzibar,Rural,Primary,Self-employed,2090242,4,7.38,0.43,0,1,Concrete/Modern,10,3,0,100.0,57.27,100.0,85.04
47,Mbeya,Rural,Primary,Private Sector,1942995,6,3.05,12.33,1,1,Brick/Iron Sheet,15,1,0,100.0,39.84,100.0,78.94
28,Dodoma,Urban,University,Self-employed,2293654,6,14.58,1.74,1,1,Concrete/Modern,8,3,1,100.0,100.0,100.0,100.0
45,Arusha,Rural,No Education,Government,2069412,9,26.13,3.37,1,0,Brick/Iron Sheet,14,4,0,100.0,14.64,100.0,70.12
